Country,Observation_Year,CovidPeriod,Online_Learning_Users (%),Average_Screen_Time (Hours),DeviceUsage(%),Preferred_Learning_Platform
South Africa,2023,After,36,2.7,60-30-10,Skillshare
South Korea,2024,After,56,3.3,60-30-10,OpenLearning
Germany,2017,Before,42,3.1,60-30-10,Alura
UK,2017,Before,11,0.7,60-30-10,Coursera
Australia,2018,Before,48,5.2,60-30-10,Unacademy
UK,2017,Before,17,2.1,60-30-10,FutureLearn
Australia,2021,During,90,3.0,60-30-10,Skillshare
China,2020,During,18,4.9,60-30-10,Udemy
Mexico,2023,After,66,4.4,60-30-10,FutureLearn
South Africa,2021,During,49,5.0,60-30-10,Udemy
South Africa,2017,Before,72,1.3,60-30-10,Coursera
Mexico,2024,After,72,2.0,60-30-10,Coursera
Mexico,2017,Before,80,5.4,60-30-10,Udemy
Russia,2021,During,68,1.4,60-30-10,Alura
Japan,2021,During,80,5.0,60-30-10,Coursera
Germany,2021,During,77,5.1,60-30-10,Alura
Australia,2019,Before,19,0.9,60-30-10,LinkedIn Learning
South Africa,2021,During,16,1.7,60-30-10,Skillshare
UK,2017,Before,68,3.9,60-30-10,FutureLearn
France,2019,Before,41,1.4,60-30-10,OpenLearning
South Africa,2019,Before,66,1.0,60-30-10,Udemy
South Korea,2023,After,31,2.7,60-30-10,Udemy
Italy,2022,After,66,4.4,60-30-10,FutureLearn
UK,2022,After,68,4.4,50-40-10,Coursera
France,2023,After,72,5.0,60-30-10,Alura
Brazil,2017,Before,45,4.2,60-30-10,LinkedIn Learning
France,2019,Before,90,2.0,60-30-10,Udemy
Australia,2019,Before,16,1.1,60-30-10,OpenLearning
Australia,2024,After,16,0.6,60-30-10,Coursera
Mexico,2021,During,45,3.5,60-30-10,FutureLearn
Mexico,2023,After,27,3.4,50-40-10,Tencent Classroom
Japan,2022,After,22,0.9,60-30-10,Alura
Australia,2020,During,13,2.7,60-30-10,OpenLearning
Italy,2018,Before,56,5.5,60-30-10,Skillshare
Russia,2017,Before,13,3.5,60-30-10,Coursera
Brazil,2024,After,79,1.3,60-30-10,Tencent Classroom
Japan,2019,Before,74,0.6,60-30-10,Unacademy
Mexico,2024,After,56,2.0,60-30-10,OpenLearning
South Korea,2022,After,46,3.0,60-30-10,Coursera
Italy,2021,During,84,2.8,60-30-10,Unacademy
Italy,2021,During,84,2.7,60-30-10,LinkedIn Learning
France,2020,During,14,2.7,60-30-10,Skillshare
Russia,2022,After,59,1.6,60-30-10,Tencent Classroom
Russia,2019,Before,80,3.3,60-30-10,Skillshare
China,2018,Before,57,3.3,60-30-10,Alura
UK,2019,Before,50,3.5,60-30-10,Coursera
Italy,2020,During,33,5.0,60-30-10,LinkedIn Learning
Australia,2022,After,80,1.6,60-30-10,Udemy
Mexico,2023,After,41,4.2,60-30-10,Udemy
Brazil,2018,Before,27,0.9,60-30-10,Unacademy
Russia,2022,After,61,1.6,60-30-10,Unacademy
Japan,2021,During,14,3.7,60-30-10,Unacademy
France,2024,After,86,4.2,60-30-10,Coursera
Germany,2019,Before,37,2.5,60-30-10,Tencent Classroom
Brazil,2022,After,20,5.5,60-30-10,Tencent Classroom
Australia,2018,Before,51,5.1,60-30-10,OpenLearning
Germany,2019,Before,16,0.8,60-30-10,FutureLearn
Australia,2017,Before,18,5.1,60-30-10,Udemy
South Africa,2022,After,24,4.3,60-30-10,Unacademy
Mexico,2023,After,87,1.9,60-30-10,Udemy
Mexico,2017,Before,35,2.1,60-30-10,OpenLearning
Brazil,2020,During,13,3.2,60-30-10,LinkedIn Learning
Australia,2018,Before,19,3.8,60-30-10,Alura
China,2018,Before,61,,60-30-10,Unacademy
South Africa,2021,During,11,5.1,60-30-10,Coursera
China,2022,After,19,5.4,60-30-10,Tencent Classroom
Australia,2018,Before,63,5.1,60-30-10,Alura
Italy,2018,Before,32,4.4,60-30-10,Udemy
Australia,2020,During,70,1.6,60-30-10,OpenLearning
Russia,2021,During,55,4.4,60-30-10,Tencent Classroom
UK,2023,After,36,3.9,60-30-10,Udemy
China,2020,During,86,2.1,60-30-10,Skillshare
Japan,2019,Before,32,2.0,60-30-10,OpenLearning
South Korea,2023,After,50,5.4,60-30-10,Tencent Classroom
Germany,2022,After,39,3.7,60-30-10,Alura
Australia,2017,Before,35,2.4,60-30-10,Coursera
Mexico,2019,Before,63,1.3,60-30-10,Alura
Russia,2024,After,26,5.3,60-30-10,Coursera
France,2023,After,48,5.4,60-30-10,Coursera
Italy,2019,Before,24,2.1,60-30-10,FutureLearn
Brazil,2023,After,88,2.1,60-30-10,LinkedIn Learning
Japan,2024,After,79,4.9,60-30-10,Alura
Australia,2018,Before,70,0.5,60-30-10,Alura
Russia,2018,Before,53,1.2,60-30-10,Tencent Classroom
Japan,2017,Before,16,4.9,60-30-10,OpenLearning
South Korea,2022,After,10,1.3,60-30-10,FutureLearn
Russia,2020,During,11,3.0,60-30-10,OpenLearning
Italy,2017,Before,53,0.6,60-30-10,Tencent Classroom
Australia,2020,During,10,1.3,60-30-10,Alura
Italy,2020,During,29,3.8,60-30-10,Udemy
UK,2020,During,56,5.3,50-40-10,Alura
China,2019,Before,66,5.5,60-30-10,Udemy
Germany,2020,During,41,5.5,60-30-10,Tencent Classroom
Germany,2022,After,29,2.5,60-30-10,Unacademy
Italy,2022,After,61,1.1,60-30-10,Tencent Classroom
South Africa,2018,Before,74,2.9,60-30-10,LinkedIn Learning
Germany,2024,After,83,4.1,60-30-10,Alura
Japan,2021,During,29,1.2,60-30-10,LinkedIn Learning
Brazil,2019,Before,64,4.3,60-30-10,Alura
Japan,2021,During,80,4.9,60-30-10,Udemy
South Korea,2024,After,76,1.3,60-30-10,Coursera
France,2019,Before,11,3.6,60-30-10,Unacademy
Brazil,2017,Before,32,3.5,60-30-10,Alura
UK,2022,After,59,3.6,60-30-10,Alura
Italy,2023,After,12,4.0,60-30-10,Skillshare
South Africa,2019,Before,88,1.4,60-30-10,Skillshare
Russia,2018,Before,52,4.6,60-30-10,Skillshare
Mexico,2021,During,13,0.8,60-30-10,Skillshare
China,2017,Before,77,1.3,60-30-10,FutureLearn
Brazil,2020,During,66,3.4,60-30-10,Alura
South Korea,2023,After,74,2.4,60-30-10,Skillshare
UK,2017,Before,52,2.7,60-30-10,FutureLearn
China,2017,Before,90,1.5,60-30-10,Alura
South Africa,2019,Before,73,4.8,60-30-10,OpenLearning
South Korea,2024,After,24,3.1,60-30-10,Tencent Classroom
South Korea,2024,After,37,3.2,50-40-10,Udemy
UK,2018,Before,52,1.4,60-30-10,Udemy
Japan,2023,After,18,4.0,60-30-10,Udemy
Italy,2019,Before,86,1.1,60-30-10,Coursera
Japan,2018,Before,56,1.7,60-30-10,LinkedIn Learning
France,2017,Before,35,3.5,60-30-10,FutureLearn
China,2018,Before,45,2.4,60-30-10,FutureLearn
China,2021,During,70,4.5,60-30-10,Unacademy
UK,2022,After,28,1.5,60-30-10,LinkedIn Learning
France,2019,Before,86,4.9,60-30-10,Skillshare
China,2023,After,11,3.8,60-30-10,FutureLearn
Russia,2020,During,71,1.9,60-30-10,FutureLearn
Mexico,2022,After,51,4.8,60-30-10,LinkedIn Learning
France,2017,Before,51,1.4,60-30-10,Unacademy
Russia,2019,Before,78,2.0,60-30-10,FutureLearn
Japan,2022,After,62,4.5,60-30-10,Coursera
Australia,2019,Before,75,3.1,60-30-10,OpenLearning
China,2017,Before,N/A,2.2,60-30-10,Udemy
Brazil,2020,During,70,1.7,60-30-10,Skillshare
Japan,2020,During,22,4.3,60-30-10,Unacademy
France,2021,During,22,5.4,60-30-10,Coursera
Russia,2017,Before,57,4.6,60-30-10,Unacademy
France,2018,Before,,0.6,60-30-10,Skillshare
South Africa,2020,During,27,2.1,60-30-10,FutureLearn
Australia,2020,During,51,0.8,60-30-10,FutureLearn
Brazil,2018,Before,10,2.5,60-30-10,
Japan,2021,During,78,2.3,60-30-10,Unacademy
China,2023,After,14,2.1,60-30-10,Tencent Classroom
France,2024,After,16,2.9,60-30-10,Alura
France,2020,During,32,3.7,60-30-10,Skillshare
Japan,2021,During,69,3.1,60-30-10,Unacademy
Brazil,2019,Before,33,0.7,60-30-10,Coursera
Russia,2022,After,36,4.5,60-30-10,Tencent Classroom
Australia,2024,After,68,3.9,60-30-10,LinkedIn Learning
South Africa,2022,After,13,2.6,60-30-10,FutureLearn
Germany,2021,During,66,3.9,60-30-10,Unacademy
UK,2023,After,73,1.1,60-30-10,FutureLearn
Mexico,2021,During,72,4.4,60-30-10,Alura
Japan,2017,Before,88,5.4,60-30-10,OpenLearning
UK,2020,During,77,4.8,60-30-10,Alura
Russia,2021,During,46,2.8,60-30-10,Skillshare
South Africa,2021,During,17,4.5,60-30-10,Skillshare
China,2017,Before,36,2.2,60-30-10,LinkedIn Learning
Russia,2017,Before,83,5.4,60-30-10,Udemy
Russia,2019,Before,41,4.1,60-30-10,Tencent Classroom
China,2019,Before,44,4.8,60-30-10,Unacademy
South Korea,2019,Before,86,1.9,60-30-10,Udemy
Australia,2021,During,15,5.1,60-30-10,Coursera
France,2023,After,22,5.0,60-30-10,Alura
France,2024,After,59,3.1,60-30-10,Coursera
Germany,2022,After,27,2.1,60-30-10,LinkedIn Learning
Japan,2021,During,27,4.4,60-30-10,LinkedIn Learning
Germany,2020,During,65,4.5,60-30-10,Udemy
South Korea,2020,During,78,1.3,60-30-10,Tencent Classroom
Germany,2022,After,16,5.5,60-30-10,Udemy
Germany,2021,During,89,,60-30-10,Skillshare
Australia,2024,After,39,5.0,60-30-10,Udemy
France,2018,Before,70,3.3,60-30-10,Alura
Germany,2018,Before,50,2.2,60-30-10,Alura
UK,2020,During,49,2.2,60-30-10,Skillshare
Italy,2021,During,89,0.6,60-30-10,LinkedIn Learning
Germany,2022,After,25,4.4,60-30-10,Coursera
China,2019,Before,67,4.5,60-30-10,Skillshare
China,2024,After,65,2.1,60-30-10,Unacademy
Germany,2020,During,28,3.7,60-30-10,Alura
Brazil,2018,Before,25,5.5,60-30-10,Unacademy
Italy,2024,After,39,2.9,60-30-10,Unacademy
Germany,2018,Before,63,3.0,60-30-10,Skillshare
Germany,2023,After,88,4.8,60-30-10,Alura
UK,2021,During,71,4.4,60-30-10,Skillshare
France,2017,Before,43,4.4,60-30-10,Udemy
France,2018,Before,67,2.1,60-30-10,N/A
Mexico,2024,After,52,2.5,60-30-10,OpenLearning
France,2022,After,42,3.5,60-30-10,Alura
Italy,2018,Before,17,4.6,60-30-10,Alura
China,2021,During,14,3.5,60-30-10,Udemy
South Africa,2017,Before,54,5.2,60-30-10,Skillshare
South Korea,2018,Before,,0.9,60-30-10,Coursera
Japan,2017,Before,75,2.5,60-30-10,Alura
Australia,2021,During,76,2.7,N/A,Coursera
Australia,2024,After,55,3.8,60-30-10,Tencent Classroom
China,2024,After,58,0.9,60-30-10,Udemy
Brazil,2023,After,44,3.5,60-30-10,Alura
South Africa,2018,Before,55,0.7,60-30-10,Udemy
Russia,2020,During,39,4.1,60-30-10,Skillshare
UK,2018,Before,68,4.0,60-30-10,Unacademy
Brazil,2018,Before,60,3.9,60-30-10,Skillshare
Australia,2020,During,18,3.4,60-30-10,OpenLearning
Germany,2020,During,15,0.9,60-30-10,Tencent Classroom
South Korea,2023,After,18,3.5,60-30-10,OpenLearning
France,2020,During,72,0.8,60-30-10,FutureLearn
South Africa,2022,After,43,4.3,60-30-10,Udemy
Japan,2019,Before,80,4.3,60-30-10,Tencent Classroom
France,2019,Before,78,0.6,60-30-10,Udemy
South Korea,2023,After,11,2.5,60-30-10,FutureLearn
Italy,2020,During,67,3.9,60-30-10,Coursera
South Korea,2018,Before,55,4.4,60-30-10,LinkedIn Learning
Australia,2019,Before,12,0.8,60-30-10,Alura
UK,2024,After,46,0.8,60-30-10,Skillshare
China,2021,During,52,2.6,60-30-10,FutureLearn
Italy,2024,After,55,4.7,60-30-10,Alura
South Africa,2020,During,83,4.3,60-30-10,LinkedIn Learning
Russia,2018,Before,52,5.4,60-30-10,Skillshare
Japan,2017,Before,29,0.7,60-30-10,Coursera
UK,2017,Before,21,1.8,60-30-10,Tencent Classroom
UK,2017,Before,38,1.4,60-30-10,OpenLearning
Italy,2023,After,18,2.1,60-30-10,Skillshare
Germany,2024,After,50,0.8,60-30-10,Coursera
Japan,2023,After,27,5.0,60-30-10,Unacademy
Germany,2017,Before,54,2.3,60-30-10,OpenLearning
Brazil,2022,After,80,5.2,60-30-10,Alura
Germany,2024,After,60,4.6,60-30-10,Alura
South Africa,2022,After,62,3.1,60-30-10,Coursera
Italy,2019,Before,54,5.4,60-30-10,Udemy
South Korea,2024,After,27,2.6,60-30-10,Unacademy
UK,2017,Before,88,2.5,60-30-10,OpenLearning
France,2018,Before,29,2.8,60-30-10,Udemy
France,2021,During,82,3.4,60-30-10,Tencent Classroom
China,2021,During,50,0.8,60-30-10,FutureLearn
Mexico,2018,Before,77,3.5,60-30-10,FutureLearn
France,2024,After,22,3.9,60-30-10,Coursera
Japan,2017,Before,38,1.0,60-30-10,Coursera
Brazil,2021,During,28,4.8,60-30-10,LinkedIn Learning
Germany,2020,During,28,4.5,60-30-10,Skillshare
Australia,2019,Before,79,3.2,60-30-10,Coursera
Russia,2023,After,65,4.0,60-30-10,OpenLearning
France,2020,During,63,3.3,60-30-10,Skillshare
UK,2022,After,23,2.2,60-30-10,Coursera
South Korea,2020,During,52,4.5,60-30-10,Skillshare
Russia,2021,During,28,0.9,60-30-10,Udemy
Mexico,2024,After,31,3.1,60-30-10,Coursera
Brazil,2023,After,27,2.9,60-30-10,FutureLearn
UK,2023,After,61,4.5,60-30-10,FutureLearn
China,2022,After,18,4.1,60-30-10,Unacademy
Brazil,2023,After,29,0.5,60-30-10,Tencent Classroom
Germany,2023,After,52,4.7,60-30-10,Udemy
Brazil,2023,After,70,4.5,60-30-10,Alura
South Korea,2024,After,90,,60-30-10,FutureLearn
Russia,2017,Before,89,5.5,60-30-10,Coursera
Russia,2021,During,11,1.0,60-30-10,Tencent Classroom
South Korea,2019,Before,61,0.5,60-30-10,OpenLearning
Australia,2021,During,63,3.7,60-30-10,Tencent Classroom
China,2024,After,12,4.8,60-30-10,LinkedIn Learning
Germany,2024,After,26,4.2,60-30-10,Coursera
Mexico,2018,Before,34,1.0,60-30-10,Coursera
Russia,2021,During,70,0.6,60-30-10,FutureLearn
Russia,2024,After,14,3.8,60-30-10,OpenLearning
South Korea,2023,After,10,0.6,60-30-10,Unacademy
Russia,2021,During,25,1.3,60-30-10,Skillshare
France,2017,Before,34,1.2,60-30-10,N/A
UK,2021,During,69,0.6,60-30-10,OpenLearning
Brazil,2021,During,71,2.2,60-30-10,Coursera
Brazil,2017,Before,70,3.1,60-30-10,Unacademy
UK,2019,Before,24,2.2,60-30-10,Skillshare
China,2017,Before,76,2.1,50-40-10,Coursera
UK,2021,During,25,3.6,60-30-10,Tencent Classroom
Brazil,2019,Before,26,3.7,60-30-10,Unacademy
Australia,2020,During,16,2.5,60-30-10,Udemy
Italy,2021,During,37,3.3,60-30-10,LinkedIn Learning
Mexico,2023,After,42,3.5,60-30-10,FutureLearn
Mexico,2024,After,62,1.7,,LinkedIn Learning
Mexico,2020,During,17,4.4,60-30-10,OpenLearning
France,2024,After,83,3.3,60-30-10,Coursera
Australia,2020,During,10,4.5,60-30-10,Unacademy
Australia,2022,After,59,3.6,60-30-10,Alura
Russia,2023,After,55,2.9,60-30-10,OpenLearning
Germany,2021,During,34,4.5,60-30-10,Unacademy
Germany,2023,After,68,3.6,60-30-10,LinkedIn Learning
Australia,2021,During,74,5.1,60-30-10,FutureLearn
Australia,2020,During,29,3.9,60-30-10,Alura
Mexico,2021,During,27,4.7,60-30-10,Udemy
South Korea,2017,Before,73,N/A,60-30-10,Unacademy
France,2024,After,65,N/A,60-30-10,LinkedIn Learning
Brazil,2022,After,49,1.4,60-30-10,Tencent Classroom
South Korea,2020,During,72,1.1,60-30-10,OpenLearning
Italy,2023,After,88,0.6,60-30-10,Alura
UK,2023,After,88,1.3,60-30-10,Udemy
Italy,2018,Before,55,3.1,60-30-10,Coursera
Germany,2022,After,80,0.7,60-30-10,FutureLearn
South Africa,2023,After,81,1.7,60-30-10,Unacademy
China,2020,During,34,2.3,60-30-10,Alura
Mexico,2022,After,80,2.1,60-30-10,Alura
Russia,2021,During,76,1.4,,Skillshare
China,2024,After,13,4.4,60-30-10,Coursera
Russia,2021,During,30,1.9,60-30-10,Tencent Classroom
Russia,2022,After,22,5.0,N/A,Coursera
South Korea,2021,During,49,5.2,60-30-10,Unacademy
UK,2024,After,38,2.6,60-30-10,Tencent Classroom
South Africa,2020,During,86,1.8,60-30-10,Alura
South Korea,2020,During,23,1.7,60-30-10,Coursera
Australia,2018,Before,33,0.5,60-30-10,Unacademy
Russia,2023,After,77,2.6,,Alura
Italy,2021,During,34,2.0,60-30-10,LinkedIn Learning
China,2024,After,54,2.8,60-30-10,LinkedIn Learning
Brazil,2017,Before,31,0.8,60-30-10,Coursera
UK,2017,Before,27,0.6,60-30-10,Coursera
Italy,2022,After,64,0.9,60-30-10,Unacademy
UK,2020,During,30,2.1,60-30-10,Alura
South Korea,2018,Before,79,5.2,60-30-10,Tencent Classroom
Russia,2020,During,20,4.4,60-30-10,OpenLearning
South Africa,2024,After,84,4.8,60-30-10,FutureLearn
UK,2019,Before,72,3.1,60-30-10,Tencent Classroom
Japan,2019,Before,80,2.5,60-30-10,Coursera
UK,2023,After,25,1.7,60-30-10,Skillshare
Mexico,2018,Before,45,4.3,60-30-10,Tencent Classroom
Mexico,2018,Before,88,4.6,60-30-10,Tencent Classroom
China,2019,Before,58,5.1,60-30-10,FutureLearn
China,2019,Before,50,2.8,60-30-10,Udemy
China,2020,During,63,1.6,60-30-10,Skillshare
Germany,2022,After,82,4.6,60-30-10,Alura
France,2017,Before,85,2.8,N/A,Skillshare
Australia,2018,Before,90,1.5,60-30-10,OpenLearning
Australia,2022,After,66,5.2,60-30-10,OpenLearning
Japan,2018,Before,33,2.5,60-30-10,Alura
South Korea,2023,After,81,4.7,60-30-10,Udemy
Russia,2017,Before,58,5.4,60-30-10,Tencent Classroom
South Korea,2019,Before,89,1.2,60-30-10,LinkedIn Learning
Russia,2023,After,11,5.3,60-30-10,LinkedIn Learning
Russia,2024,After,58,0.5,60-30-10,FutureLearn
South Korea,2018,Before,39,2.9,60-30-10,Udemy
South Korea,2023,After,69,3.3,60-30-10,
Germany,2019,Before,58,1.0,60-30-10,LinkedIn Learning
South Korea,2024,After,51,2.6,60-30-10,Skillshare
UK,2017,Before,20,1.7,60-30-10,FutureLearn
Australia,2020,During,43,0.7,60-30-10,LinkedIn Learning
South Africa,2022,After,28,0.9,60-30-10,OpenLearning
Mexico,2023,After,39,5.0,60-30-10,Coursera
Mexico,2017,Before,76,1.7,60-30-10,Skillshare
China,2023,After,90,3.9,60-30-10,LinkedIn Learning
South Africa,2023,After,89,1.1,60-30-10,Udemy
Italy,2020,During,28,3.4,60-30-10,Tencent Classroom
South Africa,2018,Before,41,3.0,60-30-10,Alura
South Africa,2024,After,30,2.0,60-30-10,OpenLearning
Japan,2018,Before,44,2.0,60-30-10,Unacademy
China,2024,After,52,3.0,60-30-10,LinkedIn Learning
Brazil,2022,After,23,4.0,60-30-10,Coursera
UK,2021,During,46,1.2,60-30-10,OpenLearning
China,2024,After,20,0.8,60-30-10,Tencent Classroom
Brazil,2020,During,31,5.5,60-30-10,Alura
Mexico,2018,Before,38,2.2,60-30-10,Tencent Classroom
South Korea,2017,Before,51,5.3,60-30-10,Udemy
France,2019,Before,23,3.7,60-30-10,Skillshare
Italy,2019,Before,36,0.5,60-30-10,Udemy
South Korea,2020,During,76,4.2,60-30-10,Udemy
France,2019,Before,65,2.9,60-30-10,Coursera
Italy,2024,After,66,0.6,60-30-10,Skillshare
France,2019,Before,18,4.6,60-30-10,Alura
Australia,2022,After,13,1.0,60-30-10,Alura
Japan,2022,After,47,4.4,60-30-10,Skillshare
Japan,2017,Before,78,4.2,60-30-10,FutureLearn
South Africa,2024,After,21,0.6,60-30-10,Alura
Germany,2023,After,68,3.6,60-30-10,Skillshare
South Korea,2024,After,70,3.6,60-30-10,Skillshare
Australia,2019,Before,83,2.2,60-30-10,Coursera
Italy,2021,During,47,2.4,60-30-10,Tencent Classroom
Australia,2022,After,N/A,4.4,60-30-10,Alura
Japan,2022,After,88,3.4,60-30-10,Unacademy
Mexico,2024,After,71,2.3,60-30-10,Alura
Mexico,2020,During,48,4.5,60-30-10,Udemy
South Korea,2020,During,87,5.5,60-30-10,LinkedIn Learning
Japan,2017,Before,21,2.4,60-30-10,N/A
Japan,2022,After,72,3.8,60-30-10,FutureLearn
Australia,2022,After,66,4.9,60-30-10,Coursera
Germany,2022,After,,3.0,60-30-10,Unacademy
Italy,2020,During,33,3.2,60-30-10,LinkedIn Learning
Japan,2022,After,,1.2,60-30-10,N/A
China,2020,During,20,4.3,60-30-10,Udemy
South Africa,2017,Before,83,2.7,60-30-10,LinkedIn Learning
Mexico,2024,After,38,5.5,60-30-10,Udemy
South Korea,2022,After,67,1.7,60-30-10,FutureLearn
Australia,2018,Before,31,2.3,60-30-10,OpenLearning
South Korea,2023,After,45,1.7,60-30-10,Coursera
Mexico,2024,After,18,5.2,60-30-10,OpenLearning
Russia,2017,Before,87,4.3,60-30-10,Unacademy
South Africa,2023,After,15,2.6,60-30-10,Skillshare
China,2019,Before,39,2.3,60-30-10,Udemy
Italy,2022,After,82,4.5,60-30-10,Tencent Classroom
South Korea,2020,During,15,3.6,60-30-10,Alura
Brazil,2018,Before,16,2.2,60-30-10,LinkedIn Learning
Brazil,2022,After,33,3.8,60-30-10,Coursera
Mexico,2018,Before,35,2.1,60-30-10,Coursera
Brazil,2019,Before,79,3.9,60-30-10,Unacademy
Germany,2021,During,46,2.5,60-30-10,FutureLearn
Australia,2021,During,18,2.9,60-30-10,Tencent Classroom
Germany,2021,During,35,2.4,60-30-10,OpenLearning
UK,2018,Before,81,1.3,60-30-10,FutureLearn
Russia,2020,During,75,3.8,60-30-10,Unacademy
Mexico,2017,Before,61,2.4,60-30-10,FutureLearn
UK,2023,After,59,1.4,60-30-10,OpenLearning
Japan,2019,Before,37,4.1,60-30-10,Skillshare
Italy,2022,After,31,2.2,60-30-10,LinkedIn Learning
UK,2019,Before,N/A,1.0,60-30-10,OpenLearning
China,2020,During,44,1.2,60-30-10,Udemy
Japan,2020,During,69,3.1,60-30-10,Alura
Australia,2021,During,29,4.3,60-30-10,OpenLearning
UK,2019,Before,66,2.6,60-30-10,Tencent Classroom
Mexico,2017,Before,23,1.6,60-30-10,LinkedIn Learning
Italy,2019,Before,11,3.3,60-30-10,Udemy
Japan,2023,After,87,1.2,60-30-10,Tencent Classroom
Japan,2020,During,20,2.9,60-30-10,Skillshare
Australia,2024,After,73,0.8,60-30-10,OpenLearning
Russia,2021,During,16,5.1,60-30-10,Alura
Russia,2020,During,10,3.4,60-30-10,Coursera
France,2019,Before,47,2.5,60-30-10,FutureLearn
China,2024,After,65,4.0,60-30-10,Alura
Mexico,2019,Before,74,1.0,60-30-10,Coursera
Russia,2022,After,49,1.0,60-30-10,Unacademy
Mexico,2024,After,N/A,1.3,60-30-10,Udemy
South Korea,2019,Before,48,3.4,60-30-10,Skillshare
Mexico,2019,Before,26,2.4,60-30-10,OpenLearning
Russia,2017,Before,17,0.6,60-30-10,Unacademy
France,2024,After,71,1.4,60-30-10,Alura
South Korea,2017,Before,75,2.8,60-30-10,Udemy
China,2024,After,53,0.8,60-30-10,Tencent Classroom
Japan,2017,Before,27,5.0,60-30-10,Tencent Classroom
South Korea,2023,After,45,4.6,60-30-10,FutureLearn
Russia,2020,During,39,3.7,60-30-10,Alura
China,2020,During,48,2.9,60-30-10,Skillshare
Italy,2020,During,75,4.4,60-30-10,OpenLearning
Germany,2018,Before,90,1.9,60-30-10,Udemy
Mexico,2018,Before,59,3.9,60-30-10,Unacademy
Mexico,2018,Before,84,2.5,60-30-10,LinkedIn Learning
